"Ano";"Estado";"Município";"Controle";"Frequenta_Curso_Bin2";"Instrucao_Responsavel_UD";"Idade_Responsavel_UD";"Idade_Responsavel_UD_Quad";"N_Hab_UD";"Renda_Domiciliar_Per_Capita_SM";"Ocupacao_Responsavel_UD_NOVA";"Composicao_Familiar_NOVA";"Idade";"Sexo";"Raca_Nova";"Regional"
2000;31;6200;3484395;"0 Não frequenta";"1 Fundamental completo e médio incompleto";49;2401;6;0,823333333333333;"3 Empregado sem CLT";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;3626392;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";48;2304;6;0,233333333333333;"0 Outros";"1 Casal com crianças";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;2457262;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";31;961;4;3,4775;"4 Conta Própria";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1004085;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";37;1369;6;0,166666666666667;"3 Empregado sem CLT";"1 Casal com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;5047429;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";62;3844;5;1,126;"4 Conta Própria";"2 Mulher solteira com crianças";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;3147768;"1 Frequenta";"3 Superior completo";29;841;4;3,875;"2 Empregado com CLT ou RP";"2 Mulher solteira com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;2649215;"1 Frequenta";"2 Médio completo e superior incompleto";43;1849;4;3,3125;"4 Conta Própria";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1728805;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";40;1600;3;3,31;"4 Conta Própria";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1290660;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";33;1089;5;0,994;"4 Conta Própria";"1 Casal com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;3798290;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";26;676;3;1,14666666666667;"4 Conta Própria";"1 Casal com crianças";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;2384742;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";61;3721;4;1,0075;"3 Empregado sem CLT";"3 Outros";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;2448565;"1 Frequenta";"2 Médio completo e superior incompleto";33;1089;5;2,318;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1653513;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";21;441;3;0,663333333333333;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;4862057;"0 Não frequenta";"1 Fundamental completo e médio incompleto";42;1764;5;0,612;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;886736;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";34;1156;3;1,02333333333333;"0 Outros";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;399692;"0 Não frequenta";"1 Fundamental completo e médio incompleto";35;1225;3;0,773333333333333;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;3575509;"1 Frequenta";"2 Médio completo e superior incompleto";37;1369;5;3,22;"4 Conta Própria";"3 Outros";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1681527;"0 Não frequenta";"2 Médio completo e superior incompleto";32;1024;5;0,928;"4 Conta Própria";"1 Casal com crianças";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;4210192;"0 Não frequenta";"2 Médio completo e superior incompleto";35;1225;4;0,995;"4 Conta Própria";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;4875749;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";28;784;4;0,33;"3 Empregado sem CLT";"1 Casal com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;3646852;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";34;1156;5;0,53;"0 Outros";"2 Mulher solteira com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1003555;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";39;1521;5;0,41;"4 Conta Própria";"1 Casal com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1768636;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";38;1444;4;0,895;"4 Conta Própria";"1 Casal com crianças";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;5182277;"1 Frequenta";"2 Médio completo e superior incompleto";28;784;5;0,53;"4 Conta Própria";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1537535;"0 Não frequenta";"1 Fundamental completo e médio incompleto";39;1521;5;0,662;"3 Empregado sem CLT";"1 Casal com crianças";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;3465464;"1 Frequenta";"1 Fundamental completo e médio incompleto";48;2304;4;5,35;"1 Empregador";"2 Mulher solteira com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;3233418;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";40;1600;3;2,12666666666667;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1331815;"1 Frequenta";"2 Médio completo e superior incompleto";34;1156;4;3,6425;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;10076;"1 Frequenta";"2 Médio completo e superior incompleto";37;1369;6;1,39166666666667;"0 Outros";"2 Mulher solteira com crianças";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1212297;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";27;729;5;0,332;"3 Empregado sem CLT";"1 Casal com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;5040367;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";31;961;5;0,344;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;4622662;"1 Frequenta";"2 Médio completo e superior incompleto";35;1225;4;1,325;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;3850331;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";28;784;5;0,312;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1187602;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";36;1296;5;0,73;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;3994148;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";31;961;4;0,58;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;4619033;"1 Frequenta";"2 Médio completo e superior incompleto";28;784;4;2,2025;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;4115967;"1 Frequenta";"2 Médio completo e superior incompleto";37;1369;5;3,974;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;110580;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";35;1225;6;0,618333333333333;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;4808447;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";73;5329;5;1,194;"0 Outros";"2 Mulher solteira com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;3969355;"0 Não frequenta";"2 Médio completo e superior incompleto";30;900;3;3,13666666666667;"4 Conta Própria";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;3255642;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";30;900;4;1,34;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;3497342;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";70;4900;4;0,58;"0 Outros";"3 Outros";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1804329;"1 Frequenta";"2 Médio completo e superior incompleto";35;1225;3;2,58333333333333;"3 Empregado sem CLT";"1 Casal com crianças";"4 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;986400;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";71;5041;7;0,521428571428571;"0 Outros";"2 Mulher solteira com crianças";"4 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;3652722;"0 Não frequenta";"1 Fundamental completo e médio incompleto";43;1849;6;0,806666666666667;"2 Empregado com CLT ou RP";"3 Outros";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;2876353;"1 Frequenta";"1 Fundamental completo e médio incompleto";37;1369;4;0,925;"3 Empregado sem CLT";"1 Casal com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;266874;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";57;3249;6;2,65;"3 Empregado sem CLT";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;2426399;"0 Não frequenta";"2 Médio completo e superior incompleto";34;1156;5;2,516;"4 Conta Própria";"1 Casal com crianças";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;142334;"1 Frequenta";"1 Fundamental completo e médio incompleto";43;1849;4;2,4825;"4 Conta Própria";"1 Casal com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;4580821;"0 Não frequenta";"1 Fundamental completo e médio incompleto";22;484;6;0,32;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;2677445;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";24;576;4;1,0625;"3 Empregado sem CLT";"1 Casal com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;4875364;"0 Não frequenta";"2 Médio completo e superior incompleto";31;961;5;1,192;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;3599066;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";72;5184;9;1,14111111111111;"4 Conta Própria";"2 Mulher solteira com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1214978;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";41;1681;3;0,706666666666667;"2 Empregado com CLT ou RP";"2 Mulher solteira com crianças";"4 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;4338838;"1 Frequenta";"2 Médio completo e superior incompleto";41;1681;3;3,07333333333333;"4 Conta Própria";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;3382421;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";38;1444;4;1,4075;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1859610;"0 Não frequenta";"1 Fundamental completo e médio incompleto";49;2401;4;0,6875;"2 Empregado com CLT ou RP";"3 Outros";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;2607608;"0 Não frequenta";"1 Fundamental completo e médio incompleto";31;961;5;0,428;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;639462;"0 Não frequenta";"1 Fundamental completo e médio incompleto";29;841;5;1,324;"4 Conta Própria";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1713090;"1 Frequenta";"2 Médio completo e superior incompleto";37;1369;4;3,145;"3 Empregado sem CLT";"1 Casal com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;873323;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";52;2704;12;0,59;"4 Conta Própria";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;208493;"1 Frequenta";"1 Fundamental completo e médio incompleto";28;784;4;3,69;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;5189873;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";20;400;2;0;"0 Outros";"2 Mulher solteira com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;873323;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";52;2704;12;0,59;"4 Conta Própria";"1 Casal com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1862227;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";29;841;3;1,32333333333333;"0 Outros";"2 Mulher solteira com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;5048381;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";25;625;4;1,0425;"3 Empregado sem CLT";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;881059;"1 Frequenta";"2 Médio completo e superior incompleto";36;1296;3;4,92333333333333;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;815142;"0 Não frequenta";"2 Médio completo e superior incompleto";36;1296;3;2,20666666666667;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;2870064;"1 Frequenta";"2 Médio completo e superior incompleto";32;1024;3;1,76666666666667;"4 Conta Própria";"3 Outros";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;2012130;"1 Frequenta";"2 Médio completo e superior incompleto";34;1156;5;4,304;"1 Empregador";"3 Outros";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;4789468;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";24;576;2;0,545;"2 Empregado com CLT ou RP";"2 Mulher solteira com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;3228349;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";71;5041;11;1,03545454545455;"0 Outros";"1 Casal com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;3979153;"0 Não frequenta";"1 Fundamental completo e médio incompleto";37;1369;8;0,34;"2 Empregado com CLT ou RP";"3 Outros";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;828876;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";47;2209;4;0,805;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;3535293;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";53;2809;4;0,9925;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;738733;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";27;729;5;0;"0 Outros";"2 Mulher solteira com crianças";"4 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1542759;"0 Não frequenta";"2 Médio completo e superior incompleto";39;1521;4;1,325;"4 Conta Própria";"1 Casal com crianças";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;914331;"1 Frequenta";"2 Médio completo e superior incompleto";40;1600;4;3,3125;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;4560254;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";27;729;3;0,5966667;"2 Empregado com CLT ou RP";"2 Mulher solteira com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;2857295;"1 Frequenta";"2 Médio completo e superior incompleto";32;1024;4;3,395;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1212297;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";27;729;5;0,332;"3 Empregado sem CLT";"1 Casal com crianças";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;3466675;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";37;1369;3;0,6633333;"4 Conta Própria";"2 Mulher solteira com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;4939273;"1 Frequenta";"2 Médio completo e superior incompleto";36;1296;3;5,296667;"4 Conta Própria";"1 Casal com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1542786;"1 Frequenta";"1 Fundamental completo e médio incompleto";34;1156;5;0,664;"4 Conta Própria";"2 Mulher solteira com crianças";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1863477;"0 Não frequenta";"1 Fundamental completo e médio incompleto";39;1521;5;0,53;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;4327592;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";63;3969;6;0,3083333;"0 Outros";"2 Mulher solteira com crianças";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;2979812;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";34;1156;5;0,638;"4 Conta Própria";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1875021;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";42;1764;3;0,3333333;"0 Outros";"3 Outros";"4 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;4064290;"0 Não frequenta";"2 Médio completo e superior incompleto";32;1024;3;0,44;"3 Empregado sem CLT";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1969519;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";24;576;4;0,2475;"3 Empregado sem CLT";"2 Mulher solteira com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1436250;"1 Frequenta";"2 Médio completo e superior incompleto";33;1089;5;1,538;"2 Empregado com CLT ou RP";"3 Outros";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;4391547;"0 Não frequenta";"3 Superior completo";43;1849;6;2,196667;"2 Empregado com CLT ou RP";"3 Outros";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;3203825;"0 Não frequenta";"1 Fundamental completo e médio incompleto";50;2500;7;0,2857143;"0 Outros";"2 Mulher solteira com crianças";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;4808145;"0 Não frequenta";"2 Médio completo e superior incompleto";32;1024;5;1,324;"3 Empregado sem CLT";"1 Casal com crianças";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1663640;"1 Frequenta";"2 Médio completo e superior incompleto";41;1681;6;6,788333;"1 Empregador";"3 Outros";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1345437;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";40;1600;6;2,538333;"4 Conta Própria";"1 Casal com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1774445;"0 Não frequenta";"1 Fundamental completo e médio incompleto";36;1296;5;1,058;"4 Conta Própria";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1300200;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";27;729;5;0,37;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;297520;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";51;2601;5;1,944;"0 Outros";"3 Outros";"4 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;613703;"1 Frequenta";"2 Médio completo e superior incompleto";77;5929;6;4,403333;"0 Outros";"3 Outros";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;2086014;"1 Frequenta";"2 Médio completo e superior incompleto";36;1296;4;2,4025;"3 Empregado sem CLT";"2 Mulher solteira com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;275918;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";30;900;4;0,5875;"3 Empregado sem CLT";"2 Mulher solteira com crianças";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;3634431;"1 Frequenta";"1 Fundamental completo e médio incompleto";32;1024;4;1,7375;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;3386116;"1 Frequenta";"1 Fundamental completo e médio incompleto";33;1089;4;2,4825;"1 Empregador";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1654706;"1 Frequenta";"2 Médio completo e superior incompleto";27;729;4;0,6625;"2 Empregado com CLT ou RP";"1 Casal com crianças";"4 anos";"Masculino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;1231154;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";71;5041;8;4,6375;"0 Outros";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
